Date;Open;High;Low;Close;Volume
04/01/2010 16:00:00;1,6119;1,6235;1,6052;1,6084;106174
05/01/2010 16:00:00;1,6086;1,6148;1,5958;1,5985;100208
06/01/2010 16:00:00;1,5983;1,6059;1,593;1,6012;105439
07/01/2010 16:00:00;1,5998;1,6052;1,589;1,5925;89363
08/01/2010 16:00:00;1,5924;1,6105;1,5908;1,6022;121704
11/01/2010 16:00:00;1,6052;1,6188;1,6051;1,6111;79295
12/01/2010 16:00:00;1,6106;1,619;1,6055;1,6163;89270
13/01/2010 16:00:00;1,6158;1,6301;1,6131;1,6279;121150
14/01/2010 16:00:00;1,6265;1,6341;1,6244;1,6336;80891
15/01/2010 16:00:00;1,6325;1,6349;1,6205;1,6257;101599
18/01/2010 16:00:00;1,6273;1,6372;1,6244;1,6329;40477
19/01/2010 16:00:00;1,6338;1,6454;1,6306;1,6355;124607
20/01/2010 16:00:00;1,6355;1,6363;1,6237;1,629;116693
21/01/2010 16:00:00;1,6287;1,6306;1,6117;1,6191;151642
22/01/2010 16:00:00;1,6186;1,6279;1,6071;1,6114;151940
25/01/2010 16:00:00;1,61;1,6256;1,609;1,624;97458
26/01/2010 16:00:00;1,6239;1,6263;1,6088;1,614;136080
27/01/2010 16:00:00;1,6142;1,624;1,6101;1,6165;125937
28/01/2010 16:00:00;1,6168;1,6273;1,6106;1,6128;140000
29/01/2010 16:00:00;1,6122;1,6174;1,5975;1,598;145051
01/02/2010 16:00:00;1,5944;1,5975;1,5845;1,5959;114003
02/02/2010 16:00:00;1,5959;1,5992;1,5899;1,5972;97529
03/02/2010 16:00:00;1,5974;1,6068;1,5873;1,5887;100396
04/02/2010 16:00:00;1,5898;1,5917;1,5725;1,5755;162896
05/02/2010 16:00:00;1,5759;1,5771;1,5554;1,5638;173848
08/02/2010 16:00:00;1,5599;1,5657;1,5531;1,5577;91261
09/02/2010 16:00:00;1,5587;1,5745;1,5558;1,5718;151039
10/02/2010 16:00:00;1,5702;1,5762;1,5567;1,5587;142669
11/02/2010 16:00:00;1,5598;1,5714;1,5555;1,5698;153197
12/02/2010 16:00:00;1,5693;1,574;1,5576;1,5677;123768
15/02/2010 16:00:00;1,5661;1,5719;1,5608;1,5652;21436
16/02/2010 16:00:00;1,5661;1,5794;1,5624;1,5787;105889
17/02/2010 16:00:00;1,5779;1,5813;1,5662;1,5664;107423
18/02/2010 16:00:00;1,5682;1,5687;1,5487;1,5522;125635
19/02/2010 16:00:00;1,5485;1,5493;1,5336;1,5475;135271
22/02/2010 16:00:00;1,5454;1,5519;1,5429;1,5482;91218
23/02/2010 16:00:00;1,5476;1,5574;1,5391;1,5423;150218
24/02/2010 16:00:00;1,543;1,5475;1,5384;1,5407;120012
25/02/2010 16:00:00;1,541;1,5421;1,5187;1,5261;176750
26/02/2010 16:00:00;1,5262;1,5319;1,515;1,5232;158970
01/03/2010 16:00:00;1,5154;1,5205;1,4778;1,499;207350
02/03/2010 16:00:00;1,4992;1,4997;1,4853;1,4968;161821
03/03/2010 16:00:00;1,496;1,5131;1,4958;1,5094;155696
04/03/2010 16:00:00;1,5101;1,5136;1,5005;1,5028;129572
05/03/2010 16:00:00;1,5026;1,5167;1,4992;1,513;132549
08/03/2010 16:00:00;1,5151;1,5196;1,503;1,5069;124353
09/03/2010 16:00:00;1,5058;1,5058;1,4935;1,4997;136316
10/03/2010 16:00:00;1,4998;1,5017;1,4872;1,4981;137453
11/03/2010 16:00:00;1,4972;1,5058;1,4935;1,5058;53246
12/03/2010 16:00:00;1,5055;1,5235;1,5017;1,5191;102469
15/03/2010 17:00:00;1,5169;1,5198;1,501;1,5044;99346
16/03/2010 17:00:00;1,5039;1,5253;1,497;1,523;128019
17/03/2010 17:00:00;1,5228;1,5375;1,52;1,5319;137004
18/03/2010 17:00:00;1,5311;1,5321;1,5208;1,524;111999
19/03/2010 17:00:00;1,5245;1,5249;1,4982;1,5005;135685
22/03/2010 17:00:00;1,4984;1,51;1,4923;1,509;89667
23/03/2010 17:00:00;1,5091;1,5105;1,4965;1,5039;102912
24/03/2010 17:00:00;1,503;1,503;1,4856;1,4858;128974
25/03/2010 17:00:00;1,488;1,5005;1,479;1,4804;132440
26/03/2010 17:00:00;1,4805;1,4917;1,48;1,4893;96607
29/03/2010 16:00:00;1,4948;1,5013;1,4884;1,4977;79064
30/03/2010 16:00:00;1,4975;1,5123;1,4966;1,5064;118722
31/03/2010 16:00:00;1,5062;1,5199;1,5037;1,5172;122027
01/04/2010 16:00:00;1,5179;1,5293;1,5166;1,5285;105941
02/04/2010 16:00:00;1,5287;1,5292;1,5176;1,5181;11987
05/04/2010 16:00:00;1,526;1,5315;1,5213;1,5287;41312
06/04/2010 16:00:00;1,5283;1,5301;1,5122;1,5258;115032
07/04/2010 16:00:00;1,5261;1,5281;1,5132;1,5234;108193
08/04/2010 16:00:00;1,5225;1,528;1,5135;1,528;101010
09/04/2010 16:00:00;1,5273;1,5388;1,5263;1,5374;119182
12/04/2010 16:00:00;1,5446;1,548;1,5347;1,5365;83590
13/04/2010 16:00:00;1,536;1,5445;1,5329;1,5376;80207
14/04/2010 16:00:00;1,5373;1,5488;1,5367;1,5461;87404
15/04/2010 16:00:00;1,5467;1,552;1,5381;1,549;102935
16/04/2010 16:00:00;1,5474;1,5481;1,5353;1,5362;114493
19/04/2010 16:00:00;1,5288;1,534;1,5186;1,534;123023
20/04/2010 16:00:00;1,5328;1,5431;1,5285;1,5354;93098
21/04/2010 16:00:00;1,5372;1,5437;1,5326;1,5401;95603
22/04/2010 16:00:00;1,5408;1,5472;1,5337;1,5377;136235
23/04/2010 16:00:00;1,5382;1,54;1,5291;1,5367;129967
26/04/2010 16:00:00;1,5383;1,5498;1,5369;1,5452;105444
27/04/2010 16:00:00;1,5454;1,5481;1,5236;1,5264;162061
28/04/2010 16:00:00;1,5249;1,5285;1,5122;1,521;159660
29/04/2010 16:00:00;1,5197;1,5341;1,5141;1,5325;125551
30/04/2010 16:00:00;1,5331;1,5389;1,525;1,5269;126189
03/05/2010 16:00:00;1,5312;1,5317;1,5208;1,525;59497
04/05/2010 16:00:00;1,5237;1,5263;1,5088;1,5141;157684
05/05/2010 16:00:00;1,5137;1,5171;1,5066;1,5103;151248
06/05/2010 16:00:00;1,5101;1,5148;1,465;1,4829;238601
07/05/2010 16:00:00;1,4783;1,4937;1,4476;1,4804;297719
10/05/2010 16:00:00;1,4841;1,5054;1,4758;1,4844;186650
11/05/2010 16:00:00;1,4855;1,5006;1,472;1,4971;207754
12/05/2010 16:00:00;1,493;1,5043;1,4815;1,4823;146696
13/05/2010 16:00:00;1,4829;1,4916;1,4594;1,461;121825
14/05/2010 16:00:00;1,4592;1,4637;1,4495;1,4528;141283
17/05/2010 16:00:00;1,4524;1,4547;1,425;1,4484;145446
18/05/2010 16:00:00;1,4483;1,4522;1,4304;1,433;134759
19/05/2010 16:00:00;1,4288;1,445;1,4236;1,4443;153783
20/05/2010 16:00:00;1,445;1,446;1,4227;1,436;151658
21/05/2010 16:00:00;1,4343;1,4498;1,4317;1,4458;123371
24/05/2010 16:00:00;1,4464;1,4529;1,4352;1,4423;78538
25/05/2010 16:00:00;1,4411;1,4414;1,426;1,4414;96565
26/05/2010 16:00:00;1,4429;1,4446;1,433;1,4389;100004
27/05/2010 16:00:00;1,4373;1,4609;1,4373;1,458;132763
28/05/2010 16:00:00;1,4562;1,4613;1,4435;1,4442;119192
31/05/2010 16:00:00;1,4433;1,4547;1,4425;1,4528;20669
01/06/2010 16:00:00;1,4532;1,4724;1,4439;1,465;142813
02/06/2010 16:00:00;1,4646;1,4772;1,4554;1,4654;127836
03/06/2010 16:00:00;1,4658;1,4744;1,4587;1,4615;87430
04/06/2010 16:00:00;1,4616;1,4682;1,445;1,4453;117196
07/06/2010 16:00:00;1,4422;1,4564;1,4387;1,447;102604
08/06/2010 16:00:00;1,447;1,453;1,4347;1,4465;115272
09/06/2010 16:00:00;1,4455;1,4609;1,4394;1,4533;91402
10/06/2010 16:00:00;1,4534;1,4722;1,4508;1,4716;64734
11/06/2010 16:00:00;1,4709;1,4764;1,4505;1,455;110558
14/06/2010 16:00:00;1,4557;1,4811;1,4552;1,4747;105738
15/06/2010 16:00:00;1,474;1,484;1,4685;1,4815;105579
16/06/2010 16:00:00;1,4807;1,4858;1,4727;1,4735;96953
17/06/2010 16:00:00;1,4724;1,4842;1,4645;1,4829;100730
18/06/2010 16:00:00;1,482;1,489;1,4773;1,4823;71595
21/06/2010 16:00:00;1,4862;1,4937;1,474;1,4756;77365
22/06/2010 16:00:00;1,4762;1,486;1,4688;1,4806;139379
23/06/2010 16:00:00;1,4804;1,4973;1,4802;1,4963;123446
24/06/2010 16:00:00;1,4962;1,5012;1,4915;1,4931;105081
25/06/2010 16:00:00;1,4922;1,508;1,4855;1,5059;109455
28/06/2010 16:00:00;1,5056;1,513;1,5017;1,5105;87561
29/06/2010 16:00:00;1,5098;1,512;1,5012;1,5069;105042
30/06/2010 16:00:00;1,5064;1,5075;1,4935;1,4941;129879
01/07/2010 16:00:00;1,4943;1,5197;1,4873;1,5173;168988
02/07/2010 16:00:00;1,5178;1,5229;1,5149;1,5186;85036
05/07/2010 16:00:00;1,5194;1,5199;1,509;1,5122;19185
06/07/2010 16:00:00;1,5131;1,5227;1,5081;1,5153;82348
07/07/2010 16:00:00;1,5149;1,5218;1,508;1,519;87633
08/07/2010 16:00:00;1,5181;1,5248;1,5099;1,516;85903
09/07/2010 16:00:00;1,5157;1,5203;1,5046;1,5058;79852
12/07/2010 16:00:00;1,5062;1,5085;1,4946;1,5036;112524
13/07/2010 16:00:00;1,5021;1,5194;1,4963;1,5178;129036
14/07/2010 16:00:00;1,5172;1,5295;1,5169;1,5265;108466
15/07/2010 16:00:00;1,5261;1,547;1,5233;1,5461;99262
16/07/2010 16:00:00;1,5442;1,5447;1,5275;1,5292;91832
19/07/2010 16:00:00;1,5289;1,5349;1,5199;1,5227;77729
20/07/2010 16:00:00;1,5228;1,5307;1,515;1,5266;97751
21/07/2010 16:00:00;1,5271;1,5335;1,5122;1,517;112883
22/07/2010 16:00:00;1,5165;1,5294;1,5147;1,5257;77278
23/07/2010 16:00:00;1,5258;1,5447;1,5253;1,5423;120160
26/07/2010 16:00:00;1,541;1,5517;1,5406;1,5489;71899
27/07/2010 16:00:00;1,5481;1,5599;1,5438;1,5588;92429
28/07/2010 16:00:00;1,5588;1,5635;1,5542;1,5596;88721
29/07/2010 16:00:00;1,5589;1,566;1,5576;1,5612;79630
30/07/2010 16:00:00;1,561;1,5719;1,5548;1,5696;104493
02/08/2010 16:00:00;1,572;1,5904;1,5691;1,5886;114975
03/08/2010 16:00:00;1,5882;1,5965;1,586;1,5954;89936
04/08/2010 16:00:00;1,5944;1,5961;1,5853;1,5884;93373
05/08/2010 16:00:00;1,5884;1,5922;1,5816;1,5894;82513
06/08/2010 16:00:00;1,5887;1,5997;1,5835;1,5941;99422
09/08/2010 16:00:00;1,5981;1,5993;1,589;1,589;58960
10/08/2010 16:00:00;1,5904;1,5906;1,5707;1,5853;128195
11/08/2010 16:00:00;1,585;1,5861;1,5625;1,5652;149688
12/08/2010 16:00:00;1,5643;1,5711;1,5559;1,558;102958
